"",AUTORITATE PUBLICĂ TUTELARĂ (APT),NUME ÎNTREPRINDERE PUBLICĂ,CUI,"NUME PERSONALCONDUCERE","CALITATE (membru CA/CSdirector/membrudirectorat)","VALOARE INDEMNIZAȚIE FIXĂLUNARĂ CONFORM CONTRACT(Brut-Lei)*","VALOARE INDEMNIZAȚIE VARIABILAANUALĂ CONFORM CONTRACT(Brut-Lei)*"
"","MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",SOCIETATEA NAȚIONALĂ PLAFAR,11945506,Vacant,Membru CA/CS,"3,692",-
100,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",SOCIETATEA NAȚIONALĂ PLAFAR,11945506,Bratu Elena,Director/directorat,"2 0,500",-
100,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",SOCIETATEA NAȚIONALĂ PLAFAR,11945506,Bratu Elena *,Director/directorat,"1 3,430",-
100,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",SOCIETATEA NAȚIONALĂ PLAFAR,11945506,Dan Marta Florina,Director/directorat,"1 1,111",-
100,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",SOCIETATEA NAȚIONALĂ PLAFAR,11945506,Vacant*,Director/directorat,,
101,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",IOR,340312,Oancea Daniel,Director/directorat,"20000 + 2,000 (spor doctorat)",-
101,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",IOR,340312,Radu Floarea,Director/directorat,"1 8,300",-
101,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",IOR,340312,"Hrimiuc-Zăiceanu Ana Maria(P)",Membru CA/CS,"5,203",-
101,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",IOR,340312,Cândea-Biela Ana-Maria,Membru CA/CS,"5,203",-
101,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",IOR,340312,Cojanu Ștefan,Membru CA/CS,"5,203",-
101,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",IOR,340312,Udroiu Ion,Membru CA/CS,"5,203",-
102,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",IAR,1132930,Tudor Alexandru Duțu,Membru CA/CS,"4,720",Nu e cazul
102,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",IAR,1132930,Bogdan Costaș,Membru CA/CS,"4,720",Nu e cazul
102,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",IAR,1132930,Cristina Gabriela Dragomir,Membru CA/CS,"4,720",Nu e cazul
102,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",IAR,1132930,Alexandra - Cristiana Vasile,Membru CA/CS,"4,720",Nu e cazul
102,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",IAR,1132930,"Constantin Alexie - Cotan -Bodolan",Membru CA/CS,"4,720",Nu e cazul
102,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",IAR,1132930,Marian - Iulian Rasaliu,Director/directorat,"46,393",Nu e cazul
102,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",IAR,1132930,Ion Dumitrescu,Director/directorat,"49,500","0-12 salarii în funcție de indicatori cf.CIM"
"","MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ȘANTIERUL NAVAL MANGALIA,14325290,Răzvan Marian Pîrcălăbescu,Membru CA/CS,"1 5,500",-
103,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ȘANTIERUL NAVAL MANGALIA,14325290,Radu Cristian Albu,Membru CA/CS,"1 5,500",-
103,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ȘANTIERUL NAVAL MANGALIA,14325290,Marius Irinel Ion,Membru CA/CS,"1 5,500",-
103,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ȘANTIERUL NAVAL MANGALIA,14325290,Călin Sergiu Cărăguț,Director/directorat,"1 2,500",-
103,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ȘANTIERUL NAVAL MANGALIA,14325290,Mihaela Tudor,Director/directorat,"9,000",-
103,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ȘANTIERUL NAVAL MANGALIA,14325290,Radu Milea,Director/directorat,"8,052",-
104,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ȘANTIERUL NAVAL 2 MAI,2413593,Brezoi Constantin-George,Membru CA/CS,"3,500",-
104,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ȘANTIERUL NAVAL 2 MAI,2413593,Șușnea Florentina,Membru CA/CS,"3,500",-
104,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ȘANTIERUL NAVAL 2 MAI,2413593,Neacșu Nicolae-Ovidiu,Membru CA/CS,"3,500",-
104,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ȘANTIERUL NAVAL 2 MAI,2413593,Vacant,Director/directorat,"1 2,054",-
105,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ ORĂȘTIE,15657042,Stelian Nicolae Manolescu,Director/directorat,"1 1,305",-
105,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ ORĂȘTIE,15657042,Elena Ecaterina Stanoiu,Membru CA/CS,"2,900",-
105,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ ORĂȘTIE,15657042,Monica Aureliana Petcu,Membru CA/CS,"2,900",-
105,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ ORĂȘTIE,15657042,Mihai George Roventa,Membru CA/CS,"2,900",-
106,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CN ROMARM,13554423,"Alexie-Cotan-BodolanConstantin",Membru CA/CS,"1 9,950",-
106,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CN ROMARM,13554423,Butunoi Ionel-Daniel,Membru CA/CS,"1 9,950",-
106,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CN ROMARM,13554423,Costas Bogdan,Membru CA/CS,"1 9,950",-
106,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CN ROMARM,13554423,Gorun Laurentiu-Nicusor,Membru CA/CS,"1 9,950",-
"","MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CN ROMARM,13554423,Stan Mihail-Dan,Membru CA/CS,"1 9,950",-
106,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CN ROMARM,13554423,Vladoiu Luis,Director/directorat,"2 7,700",-
106,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CN ROMARM,13554423,Micu Florentina,Director/directorat,"23,228",-
107,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ CUGIR,1769224,Trifan Mircea Augustin,Director/directorat,"3 9,700",-
107,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ CUGIR,1769224,Ciulea Nicușor,Director/directorat,"2 3,820",-
107,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ CUGIR,1769224,Stan Adriana Florina,Membru CA/CS,"1 5,500",-
107,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ CUGIR,1769224,Puricescu Dănuț,Membru CA/CS,"1 5,500",-
107,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ CUGIR,1769224,Ciutrilă Cristian - Ioan,Membru CA/CS,"1 5,500",-
108,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ BUCUREȘTI,14423850,Rafiu Mihai,Director/directorat,"3 5,730",-
108,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ BUCUREȘTI,14423850,Rusu Ruxandra-Mădălina,Director/directorat,"3 1,760",-
108,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ BUCUREȘTI,14423850,Bardaș Maria-Mihaela,Membru CA/CS,"1 5,500",-
108,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ BUCUREȘTI,14423850,Puricescu Dănuț,Membru CA/CS,"1 5,500",-
108,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ BUCUREȘTI,14423850,Chiriță Dumitru,Membru CA/CS,"1 5,500",-
109,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA AUTOMECANICA MORENI,938970,Oprea Alexandru,Director/directorat,"1 3,593",-
109,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA AUTOMECANICA MORENI,938970,Nițoiu Gabriela,Director/directorat,"1 2,753",-
109,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA AUTOMECANICA MORENI,938970,Mischie Dumitru,Membru CA/CS,"2,700",-
109,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA AUTOMECANICA MORENI,938970,Popa Ioana,Membru CA/CS,"2,700",-
109,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA AUTOMECANICA MORENI,938970,Stan Anca Maria,Membru CA/CS,"2,700",-
"","MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ELECTROMECANICA PLOIEȘTI,14361269,Enache Vasile,Director/directorat,"2 2,159",-
110,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ELECTROMECANICA PLOIEȘTI,14361269,Alexandra Vișan,Membru CA/CS,"3,300",-
110,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ELECTROMECANICA PLOIEȘTI,14361269,Florin Dobre,Membru CA/CS,"3,300",-
110,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",ELECTROMECANICA PLOIEȘTI,14361269,Emanuel Remus Bădulescu,Membru CA/CS,"3,300",-
111,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CARFIL,13945863,Răzvan Marian Pîrcălăbescu,Membru CA/CS,"1 5,500",-
"","MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CARFIL,13945863,Dumitru Marin,Membru CA/CS,"1 5,500",-
"","MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CARFIL,13945863,Claudia Florea,Membru CA/CS,"1 5,500",-
"","MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CARFIL,13945863,Vacant,Director/directorat,-,-
"","MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CARFIL,13945863,Fara Nume,Director/directorat,"23,050",-
"","MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CARFIL,13945863,Fara Nume,Director/directorat,"2 2,000",
112,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",TOHAN,13652413,Iacob Cosmin Constantin,Director/directorat,"1 8,000",-
112,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",TOHAN,13652413,Baciu Cristina,Director/directorat,"1 5,732",-
112,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",TOHAN,13652413,Tantau Mircea Petru,Membru CA/CS,"2,100",-
112,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",TOHAN,13652413,Visan Alexandra,Membru CA/CS,"2,100",-
112,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",TOHAN,13652413,Guzun Alexandru,Membru CA/CS,"2,100",-
113,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",PIROCHIM VICTORIA,14469423,Stan Adriana - Florina,Membru CA/CS,"1,700",
113,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",PIROCHIM VICTORIA,14469423,Radu Gabriel,Membru CA/CS,"1,700",
113,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",PIROCHIM VICTORIA,14469423,Sava Marius - Cristian,Membru CA/CS,"1,700",
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
113,,PIROCHIM VICTORIA,14469423,Bârsan Ioan,Director/directorat,"2 0,000",,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
114,,FABRICA DE PULBERI,21727401,Oprea Cristina Elena,Membru CA/CS,"1,680",,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
114,,FABRICA DE PULBERI,21727401,Marin Dumitru,Membru CA/CS,"1,680",,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
114,,FABRICA DE PULBERI,21727401,Tantau Mircea Petru,Membru CA/CS,"1,680",,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
114,,FABRICA DE PULBERI,21727401,Leabu Catalin Aurel,Director/directorat,"1 0,260",,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
114,,FABRICA DE PULBERI,21727401,Stroe Elena Mihaela,Director/directorat,"1 3,500",,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
115,,FABRICA DE ARME CUGIR,16368506,Bădiță Daniela,Membru CA/CS,"3,400",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
115,,FABRICA DE ARME CUGIR,16368506,Micaciu Catalin Alexandru,Membru CA/CS,"3,400",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
115,,FABRICA DE ARME CUGIR,16368506,Tamaș Atila,Membru CA/CS,"3,400",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
115,,FABRICA DE ARME CUGIR,16368506,Radu Constantin Coroamă,Director/directorat,"19,850",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
115,,FABRICA DE ARME CUGIR,16368506,Suciu Grațian,Director/directorat,"14,880",,Nu a fost stabilită
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
115,,FABRICA DE ARME CUGIR,16368506,Bâldea Nicolae Adrian,Director/directorat,"1 3,268",,Nu a fost stabilită
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
116,,ARSENAL REȘIȚA,14366231,Closca Liliana,Membru CA/CS,"1,338",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
116,,ARSENAL REȘIȚA,14366231,Sloata Florentina,Membru CA/CS,"1,338",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
116,,ARSENAL REȘIȚA,14366231,Brie Olimpiu Mihail,Membru CA/CS,"1,338",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
116,,ARSENAL REȘIȚA,14366231,Chisalita Ioan Narcis,Director/directorat,"12,338",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
117,,UZINA MECANICĂ MIJA,2978636,Marius-Angelo Dinca-Oprea,Membru CA/CS,"9,800",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
117,,UZINA MECANICĂ MIJA,2978636,Cecilia Sandela Banciu,Membru CA/CS,"9,800",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ MIJA,2978636,Radu Nicolae Toader,Membru CA/CS,"9,800",-
117,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ MIJA,2978636,Gheorghe Voican,Director/directorat,"2 1,000",-
118,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ PLOPENI,13741804,Butunoi Ionel Daniel,Membru CA/CS,"2,350",-
118,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ PLOPENI,13741804,Năstase Cornelia,Membru CA/CS,"2,350",-
118,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ PLOPENI,13741804,Vasile Dumitru Cătălin,Membru CA/CS,"2,350",-
118,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ PLOPENI,13741804,Pîrvu Tiberiu Alexandru,Director/directorat,"19,740",-
118,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ PLOPENI,13741804,Duță Mariana,Director/directorat,"18,500",-
119,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",METROM,14531223,Brie Olimpiu Mihail,Membru CA/CS,"2,911",-
119,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",METROM,14531223,Teodorescu Carmen Areta,Membru CA/CS,"2,911",-
119,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",METROM,14531223,Tudose Mariana,Membru CA/CS,"2,911",-
119,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",METROM,14531223,Chifelea Marin,Director/directorat,"10,500",-
119,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",METROM,14531223,Stan Aurica,Director/directorat,"10,350",-
120,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA DE PRODUSE SPECIALE DRAGOMIREȘTI,3180070,Danciu Gabriela Cătălina,Membru CA/CS,"1 5,500",-
120,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA DE PRODUSE SPECIALE DRAGOMIREȘTI,3180070,Florea Elena Claudia,Membru CA/CS,"1 5,500",-
120,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA DE PRODUSE SPECIALE DRAGOMIREȘTI,3180070,Hlistei Mureșan Adrian,Membru CA/CS,"1 5,500",-
120,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA DE PRODUSE SPECIALE DRAGOMIREȘTI,3180070,Tocan Constantin,Director/directorat,"4 7,640",-
120,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA DE PRODUSE SPECIALE DRAGOMIREȘTI,3180070,Rotaru Elena,Director/directorat,"2 0,591",-
121,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ SADU,14373832,Neacșu Ovidiu,Director/directorat,"1 5,000",-
"","MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ SADU,14373832,Cotigă Mihaela,Membru CA/CS,"3,100",-
121,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ SADU,14373832,Năstase Cornelia,Membru CA/CS,"3,100",-
121,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",UZINA MECANICĂ SADU,14373832,Mischie Dumitru,Membru CA/CS,"3,100",-
122,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",BĂIȚA,14322197,Alexandru Cristian Vasilescu,Membru CA/CS,"3,728",-
122,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",BĂIȚA,14322197,Marius Irinel Ion,Membru CA/CS,"3,728",-
122,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",BĂIȚA,14322197,Ion Spânu,Membru CA/CS,"3,728",-
122,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",BĂIȚA,14322197,Cecilia Sandela Banciu,Director/directorat,"1 5,530",-
122,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",BĂIȚA,14322197,Anita Violeta Indrei,Director/directorat,"9,875",-
122,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",BĂIȚA,14322197,Florin Dobra,Director/directorat,"9,875",-
123,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CUPRUMIN,11551757,Adrian Ovidiu Duicu,Membru CA/CS,"1 9,950",-
123,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CUPRUMIN,11551757,Marcel Radu,Membru CA/CS,"1 9,950",-
123,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CUPRUMIN,11551757,Bogdan Ștefan Chițescu,Membru CA/CS,"1 9,950",-
123,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CUPRUMIN,11551757,Radu Claudiu Roșca,Membru CA/CS,"1 9,950",-
123,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CUPRUMIN,11551757,Iulia Fabian-Mărincean,Membru CA/CS,"1 9,950",-
123,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CUPRUMIN,11551757,Mircea Goia,Director/directorat,"4 9,269",-
123,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI",CUPRUMIN,11551757,Elisabeta Cioară,Director/directorat,"3 9,415",-
124,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI","COMPANIA NATIONALA A CUPRULUI AURULUI SI FIERULUIMINVEST",2117946,Radu Marcel,ADMINISTRATOR SPECIAL,"2,982",-
124,"MINISTERUL ECONOMIEI, DIGITALIZARII,ANTREPRENORIATULUI SI TURISMULUI","COMPANIA NATIONALA A CUPRULUI AURULUI SI FIERULUIMINVEST",2117946,Duicu Adrian Ovidiu,Membru CA/CS,"2,982",-
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",COMPANIA NATIONALA A CUPRULUI AURULUI SI FIERULUI,,,,,,
124,,,2117946,Ardelian Nelu,Membru CA/CS,"2,982",-,
"",ANTREPRENORIATULUI SI TURISMULUI,MINVEST,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",COMPANIA NATIONALA A CUPRULUI AURULUI SI FIERULUI,,,,,,
124,,,2117946,Lupea Iuliana,Membru CA/CS,"2,982",-,
"",ANTREPRENORIATULUI SI TURISMULUI,MINVEST,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",COMPANIA NATIONALA A CUPRULUI AURULUI SI FIERULUI,,,,,,
124,,,2117946,Brusturean Alina Petronela,Director/directorat,"7,000",-,
"",ANTREPRENORIATULUI SI TURISMULUI,MINVEST,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
125,,CONVERSMIN,14923006,Bobora Mihai Dorin,Director/directorat,"18,501",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
125,,CONVERSMIN,14923006,Geanta Florian-Daniel,Membru CA/CS,"3,745",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
125,,CONVERSMIN,14923006,Dragomir Adrian-Viorel,Membru CA/CS,"3,745",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
125,,CONVERSMIN,14923006,Jurcut Laura-Mihaela,Membru CA/CS,"3,745",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
"","MINISTERUL ECONOMIEI, DIGITALIZARII,",,,,,,,
125,,CONVERSMIN,14923006,Maiorescu Mircea-Adrian,Membru CA/CS,"3,745",-,
"",ANTREPRENORIATULUI SI TURISMULUI,,,,,,,
